Sector,a,b,rank
Health and social work,Health,6.5,18
Education,Education,3,12
"Professional, scientific and technical",Professional,2.93,11
Information and communication,Information,4.74,14
Finance and insurance,Finance,5.36,16
Accommodation and food service activities,Accommodation,1.3,10
"Arts, entertainment and recreation",Arts,4.1,16
Manufacturing,Manufacturing,0.55,7
"Water supply, sewerage and waste",Water,6,17
Energy production and supply,Energy Production,8.9,19
Real estate,Real estate,2.32,11
Public administration and defence; social security,Public,0.72,8
Other service activities,Other,1.17,9
Mining and quarrying,Mining,4.39,15
Administrative and support services,Administration,0.02,6
Households and Extraterritorial,Household,-2.79,2
Wholesale and retail; repair of motor vehicles,Wholesale,-0.06,5
Construction,Construction,-0.29,4
Transportation and storage,Transportation,-0.49,3
"Agriculture, forestry and fishing",Agriculture,-3.86,1
