Year	Dometsic Boxoffice	World Wide Boxoffice	International Boxoffice	China Boxoffice	top20				
2021	4482795864	17931183456	13448387592	957181467	2241397932				
2020	2113846800	10569234000	8455387200	6065906999	1056923400				
2019	11363360889	42500000000	31136639111	1710835192	5681680444			
2018	11892160011	44595600041	32703440030	8999073482	5946080005				
2017	11075387520	41532703200	30457315680	8929044967	5537693760				
2016	11375225455	42657095456	31281870001	8038549882	5687612727				
2015	11148825819	41808096821	30659271002	6595917640	5574412909				
2014	10368861849	38883231933	28514370084	6531354953	5184430924				
2013	10955524800	41083218000	30127693200	4132731079	5477762400				
2012	10843641372	40663655145	29820013773	3160825659	5421820686				
2011	10155695359	38083857596	27928162237	329200932	5077847679				
2010	10585386940	39695201025	29109814085	532984811	5292693470				
2009	10615888236	39809580885	29193692649	658594886	5307944118				
2008	9652648585	36197432193	26544783608	165236110	4826324292				
2007	9679019852	36296324445	26617304593	501854397	4839509926				
2006	9203041941	34511407278	25308365337	286410294	4601520970				
2005	8833618311	33126068666	24292450355	63153927	4416809155				
2004	9354636012	35079885045	25725249033	26139156	4677318006				
2003	9232953228	34623574605	25390621377	35395519	4616476614				
2002	9164913438	34368425392	25203511954	5804282	4582456719				
2001	7959296828	29847363105	21888066277	5488408	3979648414				
