Year	Dometsic Boxoffice								
2021	4482795864								
2020	2113846800								
2019	11363360889								
2018	11892160011								
2017	11075387520								
2016	11375225455								
2015	11148825819								
2014	10368861849								
2013	10955524800								
2012	10843641372								
2011	10155695359								
2010	10585386940								
2009	10615888236								
2008	9652648585								
2007	9679019852								
2006	9203041941								
2005	8833618311								
2004	9354636012								
2003	9232953228								
2002	9164913438								
2001	7959296828								
