Film,Profit,International,Domestic,Worldwide,Costs,Year
Transformers: Age Of Extinction,250155000,858614996,245439076,1104054072,100038390,2014
American Sniper,242580000,197300000,350159020,547459020,633456,2014
The Lego Movie,229008000,210300000,257966122,468266122,69050279,2014
The Hunger Games: Mockingjay Part 1,211609000,418220826,337135885,755356711,121897634,2014
Guardians of the Galaxy,204200000,439631547,333718600,773350147,94320883,2014
Maleficent,190770000,517001401,241410378,758411779,69431298,2014
Big Hero 6,187339000,435341858,222527828,657869686,56215889,2014
Dawn Of The Planet Of The Apes,182179000,502098977,208545589,710644566,72611427,2014
Captain America: The Winter Soldier,166224000,454654931,259766572,714421503,95023721,2014
22 Jump Street,144476000,139614539,191719337,331333876,57071445,2014
Neighbors,136050000,120507734,150157400,270665134,49033915,2014
Gone Girl,129990000,201563174,167767189,369330363,37513109,2014
How to Train Your Dragon 2,107337000,444534595,177002924,621537519,49451322,2014
The Hobbit: The Battle of the Five Armies,103379000,707063077,255138261,962201338,54724334,2014
Teenage Mutant Ninja Turtles,81310000,66700000,135384756,202084756,25398367,2014
X-Men: Days Of Future Past,77384000,512124166,233921534,746045700,90823660,2014
Divergent,71868000,137937923,150947895,288885818,54607747,2014
The Amazing Spider-Man 2,70377000,506128390,202853933,708982323,91608337,2014
Godzilla,52477000,324300000,200676069,524976069,93188384,2014
Interstellar,47161000,585847199,188020017,773867216,47510360,2014
Star Wars: The Force Awakens,923860000,1132859475,936662225,2069521700,247966675,2015
Minions,502340000,823398892,336045770,1159444662,115718405,2015
Jurassic World,474630000,625127000,376851080,1001978080,145075625,2015
Avengers: Age Of Ultron,382320000,943803672,459005868,1402809540,191271109,2015
Furious 7,354030000,1162334379,353007020,1515341399,147187040,2015
Inside Out,279510000,501926308,356921711,858848019,90440272,2015
Fifty Shades Of Grey,255460000,403484237,166167230,569651467,85171450,2015
Cinderella,164770000,341206978,201151353,542358331,67877361,2015
Hotel Transylvania 2,159480000,305486596,169700110,475186706,48464322,2015
The Martian,150320000,402187155,228433663,630620818,54308575,2015
Pitch Perfect 2,139640000,102847849,184296230,287144079,69216890,2015
The Hunger Games: Mockingjay Part 2,134390000,371704359,281723902,653428261,102665981,2015
Mission: Impossible – Rogue Nation,109800000,487674259,195042377,682716636,55520089,2015
Ant-Man,103900000,339109802,180202163,519311965,57225526,2015
The SpongeBob Movie: Sponge Out Of Water,99800000,162192000,162994032,325186032,55365012,2015
Spectre,98400000,680630703,200074609,880705312,70403148,2015
Straight Outta Compton,91120000,40437206,161197785,201634991,60200180,2015
San Andreas,88070000,318818322,155190832,474009154,54588173,2015
The Revenant,61600000,349312609,183637894,532950503,474560,2015
Home,29120000,190923432,285761243,476684675,17081997,2015
The Secret Life Of Pets,374650000,525944139,368384330,894328469,104352905,2016
Deadpool,322240000,419766082,363070709,782836791,132434639,2016
Rogue One: A Star Wars Stor,319600000,525142151,533539991,1058682142,155081681,2016
Finding Dory,296600000,542275381,486295561,1028570942,135060273,2016
Zootopia,294900000,701265441,341268248,1042533689,75063401,2016
The Jungle Book,258150000,602553806,364001123,966554929,103261464,2016
Sing,194250000,363759959,270578425,634338384,35258145,2016
Captain America: Civil War,193400000,745253147,408084349,1153337496,179139142,2016
Fantastic Beasts And Where To Find Them,164700000,580006426,234037575,814044001,74403387,2016
Suicide Squad,158450000,421746840,325100054,746846894,133682248,2016
Doctor Strange,122650000,445154156,232641920,677796076,85058311,2016
Moana,121300000,416312095,248757044,665069139,56631401,2016
Batman V Superman: Dawn Of Justice,105700000,543277334,330360194,873637528,166007347,2016
The Conjuring 2,98300000,219318211,102516140,321834351,40406314,2016
Hidden Figures,95550000,66349611,169607287,235956898,515499,2016
Kung Fu Panda 3,76650000,377642206,143528619,521170825,41282042,2016
The Angry Birds Movie,72000000,244824563,107509366,352333929,38155177,2016
La La Land,68250000,320948641,151101803,472050444,881104,2016
Don’t Breathe,59100000,68543127,89217875,157761002,26411706,2016
Central Intelligence,52000000,89531672,127440871,216972543,35535250,2016
Star Wars: The Last Jedi,417500000,712517448,620181382,1332698830,220009584,2017
Beauty and the Beast,414700000,801130434,504481165,1305611599,174750616,2017
Despicable Me3,366200000,770175831,264624300,1034800131,72434025,2017
Jumanji: Welcome to the Jungle,305700000,590798946,404540171,995339117,36169328,2017
It,293700000,6750053,1483250,8233303,4163338,2017
Wonder Woman,252900000,410009114,412845172,822854286,103251471,2017
Spider-Man: Homecoming,200100000,545965784,334201140,880166924,117027503,2017
Thor: Ragnarok,174200000,538925590,315058289,853983879,122744989,2017
Guardians of the Galaxy Vol. 2,154700000,473942950,389813101,863756051,146510104,2017
Get Out,124300000,79548492,176196665,255745157,4500000,2017
The Avengers: Infinity War,500000000,1369544272,678815482,2048359754,257698183,2018
Black Panther,476800000,380500000,439645653,820145653,181339761,2018
Incredibles 2,447400000,634507500,608581744,1243089244,182687905,2018
Bohemian Rhapsody,350800000,694141269,216668042,910809311,51061119,2018
Aquaman,260500000,813424079,335104314,1148528393,67873522,2018
Venom,246900000,642569645,213515506,856085151,80255756,2018
Deadpool 2,235400000,461304874,324591735,785896609,125507153,2018
Jurassic World: Fallen Kingdom,222800000,892746536,417719760,1310466296,148024610,2018
Dr. Seuss’ The Grinch,184600000,259544720,271384731,530929451,67572855,2018
A Star Is Born,178100000,220900000,215333122,436233122,42908051,2018
Avengers: Endgame,890000000,1325110000,858373000,2797000000,899000000,2019
The Lion King,599000000,992850000,543638043,1450000000,621000000,2019
Toy Story 4,580000000,610200000,434038008,1073400000,503000000,2019
