Year,Value,Box Office,Percentage
2021,4482,Domestic,51%
2020,2113,Domestic,53%
2019,11363,Domestic,46%
2018,11892,Domestic,48%
2017,11075,Domestic,46%
2016,11375,Domestic,46%
2015,11148,Domestic,44%
2014,10368,Domestic,42%
2013,10955,Domestic,41%
2012,10843,Domestic,39%
2011,10155,Domestic,38%
2010,10585,Domestic,36%
2009,10615,Domestic,38%
2008,9652,Domestic,35%
2007,9679,Domestic,33%
2006,9203,Domestic,31%
2005,8833,Domestic,33%
2004,9354,Domestic,33%
2003,9232,Domestic,31%
2002,9164,Domestic,31%
2001,7959,Domestic,29%
2021,2286,Top 20 Films,51%
2020,1120,Top 20 Films,53%
2019,5227,Top 20 Films,46%
2018,5743,Top 20 Films,48%
2017,5205,Top 20 Films,46%
2016,5266,Top 20 Films,46%
2015,4961,Top 20 Films,44%
2014,4458,Top 20 Films,42%
2013,4546,Top 20 Films,41%
2012,4229,Top 20 Films,39%
2011,3909,Top 20 Films,38%
2010,3916,Top 20 Films,36%
2009,4034,Top 20 Films,38%
2008,3474,Top 20 Films,35%
2007,3290,Top 20 Films,33%
2006,2944,Top 20 Films,31%
2005,2915,Top 20 Films,33%
2004,3087,Top 20 Films,33%
2003,2862,Top 20 Films,31%
2002,2932,Top 20 Films,31%
2001,2387,Top 20 Films,29%
