Date,Val,Type,Series
2021,776,Transportation and storage,Birmingham
2020,716,Transportation and storage,Birmingham
2019,993,Transportation and storage,Birmingham
2018,978,Transportation and storage,Birmingham
2017,923,Transportation and storage,Birmingham
2016,983,Transportation and storage,Birmingham
2015,"1,056",Transportation and storage,Birmingham
2014,"1,030",Transportation and storage,Birmingham
2013,"1,006",Transportation and storage,Birmingham
2012,977,Transportation and storage,Birmingham
2011,"1,026",Transportation and storage,Birmingham
2010,950,Transportation and storage,Birmingham
2021,"2,292","Professional, scientific and technical",Birmingham
2020,"2,149","Professional, scientific and technical",Birmingham
2019,"2,160","Professional, scientific and technical",Birmingham
2018,"2,332","Professional, scientific and technical",Birmingham
2017,"2,103","Professional, scientific and technical",Birmingham
2016,"1,990","Professional, scientific and technical",Birmingham
2015,"1,875","Professional, scientific and technical",Birmingham
2014,"1,861","Professional, scientific and technical",Birmingham
2013,"1,847","Professional, scientific and technical",Birmingham
2012,"1,746","Professional, scientific and technical",Birmingham
2011,"1,738","Professional, scientific and technical",Birmingham
2010,"1,738","Professional, scientific and technical",Birmingham
2021,239,"Arts, entertainment and recreation",Birmingham
2020,168,"Arts, entertainment and recreation",Birmingham
2019,326,"Arts, entertainment and recreation",Birmingham
2018,318,"Arts, entertainment and recreation",Birmingham
2017,357,"Arts, entertainment and recreation",Birmingham
2016,340,"Arts, entertainment and recreation",Birmingham
2015,372,"Arts, entertainment and recreation",Birmingham
2014,377,"Arts, entertainment and recreation",Birmingham
2013,347,"Arts, entertainment and recreation",Birmingham
2012,298,"Arts, entertainment and recreation",Birmingham
2011,315,"Arts, entertainment and recreation",Birmingham
2010,328,"Arts, entertainment and recreation",Birmingham
2021,"2,806",Finance and insurance,Birmingham
2020,"2,871",Finance and insurance,Birmingham
2019,"3,005",Finance and insurance,Birmingham
2018,"3,216",Finance and insurance,Birmingham
2017,"3,237",Finance and insurance,Birmingham
2016,"3,499",Finance and insurance,Birmingham
2015,"3,502",Finance and insurance,Birmingham
2014,"3,400",Finance and insurance,Birmingham
2013,"3,715",Finance and insurance,Birmingham
2012,"3,633",Finance and insurance,Birmingham
2011,"3,572",Finance and insurance,Birmingham
2010,"3,528",Finance and insurance,Birmingham
2021,304,Energy production and supply,Birmingham
2020,221,Energy production and supply,Birmingham
2019,222,Energy production and supply,Birmingham
2018,247,Energy production and supply,Birmingham
2017,248,Energy production and supply,Birmingham
2016,299,Energy production and supply,Birmingham
2015,355,Energy production and supply,Birmingham
2014,363,Energy production and supply,Birmingham
2013,373,Energy production and supply,Birmingham
2012,334,Energy production and supply,Birmingham
2011,387,Energy production and supply,Birmingham
2010,411,Energy production and supply,Birmingham
2021,759,Finance and insurance,Solihull
2020,667,Finance and insurance,Solihull
2019,622,Finance and insurance,Solihull
2018,643,Finance and insurance,Solihull
2017,702,Finance and insurance,Solihull
2016,448,Finance and insurance,Solihull
2015,276,Finance and insurance,Solihull
2014,234,Finance and insurance,Solihull
2013,271,Finance and insurance,Solihull
2012,205,Finance and insurance,Solihull
2011,204,Finance and insurance,Solihull
2010,210,Finance and insurance,Solihull
2021,31,"Arts, entertainment and recreation",Solihull
2020,21,"Arts, entertainment and recreation",Solihull
2019,50,"Arts, entertainment and recreation",Solihull
2018,45,"Arts, entertainment and recreation",Solihull
2017,54,"Arts, entertainment and recreation",Solihull
2016,51,"Arts, entertainment and recreation",Solihull
2015,55,"Arts, entertainment and recreation",Solihull
2014,59,"Arts, entertainment and recreation",Solihull
2013,54,"Arts, entertainment and recreation",Solihull
2012,48,"Arts, entertainment and recreation",Solihull
2011,51,"Arts, entertainment and recreation",Solihull
2010,55,"Arts, entertainment and recreation",Solihull
2021,382,Energy production and supply,Solihull
2020,261,Energy production and supply,Solihull
2019,318,Energy production and supply,Solihull
2018,266,Energy production and supply,Solihull
2017,319,Energy production and supply,Solihull
2016,255,Energy production and supply,Solihull
2015,251,Energy production and supply,Solihull
2014,227,Energy production and supply,Solihull
2013,214,Energy production and supply,Solihull
2012,465,Energy production and supply,Solihull
2011,426,Energy production and supply,Solihull
2010,449,Energy production and supply,Solihull
2021,525,"Professional, scientific and technical",Solihull
2020,472,"Professional, scientific and technical",Solihull
2019,523,"Professional, scientific and technical",Solihull
2018,530,"Professional, scientific and technical",Solihull
2017,537,"Professional, scientific and technical",Solihull
2016,467,"Professional, scientific and technical",Solihull
2015,393,"Professional, scientific and technical",Solihull
2014,306,"Professional, scientific and technical",Solihull
2013,308,"Professional, scientific and technical",Solihull
2012,290,"Professional, scientific and technical",Solihull
2011,278,"Professional, scientific and technical",Solihull
2010,278,"Professional, scientific and technical",Solihull
2021,280,Transportation and storage,Solihull
2020,243,Transportation and storage,Solihull
2019,402,Transportation and storage,Solihull
2018,395,Transportation and storage,Solihull
2017,367,Transportation and storage,Solihull
2016,417,Transportation and storage,Solihull
2015,427,Transportation and storage,Solihull
2014,363,Transportation and storage,Solihull
2013,299,Transportation and storage,Solihull
2012,260,Transportation and storage,Solihull
2011,284,Transportation and storage,Solihull
2010,231,Transportation and storage,Solihull
2021,392,"Professional, scientific and technical",Coventry
2020,408,"Professional, scientific and technical",Coventry
2019,386,"Professional, scientific and technical",Coventry
2018,465,"Professional, scientific and technical",Coventry
2017,570,"Professional, scientific and technical",Coventry
2016,578,"Professional, scientific and technical",Coventry
2015,529,"Professional, scientific and technical",Coventry
2014,493,"Professional, scientific and technical",Coventry
2013,429,"Professional, scientific and technical",Coventry
2012,341,"Professional, scientific and technical",Coventry
2011,364,"Professional, scientific and technical",Coventry
2010,359,"Professional, scientific and technical",Coventry
2021,56,"Arts, entertainment and recreation",Coventry
2020,44,"Arts, entertainment and recreation",Coventry
2019,76,"Arts, entertainment and recreation",Coventry
2018,69,"Arts, entertainment and recreation",Coventry
2017,68,"Arts, entertainment and recreation",Coventry
2016,63,"Arts, entertainment and recreation",Coventry
2015,71,"Arts, entertainment and recreation",Coventry
2014,67,"Arts, entertainment and recreation",Coventry
2013,60,"Arts, entertainment and recreation",Coventry
2012,51,"Arts, entertainment and recreation",Coventry
2011,55,"Arts, entertainment and recreation",Coventry
2010,55,"Arts, entertainment and recreation",Coventry
2021,777,Finance and insurance,Coventry
2020,945,Finance and insurance,Coventry
2019,979,Finance and insurance,Coventry
2018,795,Finance and insurance,Coventry
2017,671,Finance and insurance,Coventry
2016,"1,093",Finance and insurance,Coventry
2015,950,Finance and insurance,Coventry
2014,850,Finance and insurance,Coventry
2013,973,Finance and insurance,Coventry
2012,"1,471",Finance and insurance,Coventry
2011,"1,444",Finance and insurance,Coventry
2010,"1,474",Finance and insurance,Coventry
2021,"1,047",Energy production and supply,Coventry
2020,"1,014",Energy production and supply,Coventry
2019,944,Energy production and supply,Coventry
2018,892,Energy production and supply,Coventry
2017,803,Energy production and supply,Coventry
2016,"1,005",Energy production and supply,Coventry
2015,856,Energy production and supply,Coventry
2014,763,Energy production and supply,Coventry
2013,823,Energy production and supply,Coventry
2012,655,Energy production and supply,Coventry
2011,625,Energy production and supply,Coventry
2010,649,Energy production and supply,Coventry
2021,438,Transportation and storage,Coventry
2020,369,Transportation and storage,Coventry
2019,349,Transportation and storage,Coventry
2018,339,Transportation and storage,Coventry
2017,320,Transportation and storage,Coventry
2016,304,Transportation and storage,Coventry
2015,295,Transportation and storage,Coventry
2014,264,Transportation and storage,Coventry
2013,221,Transportation and storage,Coventry
2012,198,Transportation and storage,Coventry
2011,196,Transportation and storage,Coventry
2010,185,Transportation and storage,Coventry
